date,bike_model,price,quantity_sold,extended_sales
2021-01-01,Commuter Swift,495,23,11385
2021-01-01,Urban Rider,350,19,6650
2021-01-01,City Cruiser,400,19,7600
2021-01-01,Mountain Trail Pro,1250,11,13750
2021-01-01,Gravel Explorer,2200,9,19800
2021-01-01,Roadster GT,2900,12,34800
2021-01-01,Carbon Storm,5000,3,15000
2021-01-01,Titanium Falcon,7500,5,37500
2021-01-01,Speedster Elite,9900,3,29700
2021-01-02,Commuter Swift,495,24,11880
2021-01-02,Urban Rider,350,20,7000
2021-01-02,City Cruiser,400,20,8000
2021-01-02,Mountain Trail Pro,1250,11,13750
2021-01-02,Gravel Explorer,2200,8,17600
2021-01-02,Roadster GT,2900,8,23200
2021-01-02,Carbon Storm,5000,3,15000
2021-01-02,Titanium Falcon,7500,3,22500
2021-01-02,Speedster Elite,9900,3,29700
2021-01-03,Commuter Swift,495,25,12375
2021-01-03,Urban Rider,350,17,5950
2021-01-03,City Cruiser,400,19,7600
2021-01-03,Mountain Trail Pro,1250,12,15000
2021-01-03,Gravel Explorer,2200,10,22000
2021-01-03,Roadster GT,2900,12,34800
2021-01-03,Carbon Storm,5000,4,20000
2021-01-03,Titanium Falcon,7500,4,30000
2021-01-03,Speedster Elite,9900,5,49500
2021-01-04,Commuter Swift,495,16,7920
2021-01-04,Urban Rider,350,20,7000
2021-01-04,City Cruiser,400,17,6800
2021-01-04,Mountain Trail Pro,1250,13,16250
2021-01-04,Gravel Explorer,2200,10,22000
2021-01-04,Roadster GT,2900,8,23200
2021-01-04,Carbon Storm,5000,5,25000
2021-01-04,Titanium Falcon,7500,5,37500
2021-01-04,Speedster Elite,9900,5,49500
2021-01-05,Commuter Swift,495,20,9900
2021-01-05,Urban Rider,350,21,7350
2021-01-05,City Cruiser,400,20,8000
2021-01-05,Mountain Trail Pro,1250,8,10000
2021-01-05,Gravel Explorer,2200,10,22000
2021-01-05,Roadster GT,2900,13,37700
2021-01-05,Carbon Storm,5000,5,25000
2021-01-05,Titanium Falcon,7500,3,22500
2021-01-05,Speedster Elite,9900,3,29700
2021-01-06,Commuter Swift,495,15,7425
2021-01-06,Urban Rider,350,24,8400
2021-01-06,City Cruiser,400,16,6400
2021-01-06,Mountain Trail Pro,1250,8,10000
2021-01-06,Gravel Explorer,2200,10,22000
2021-01-06,Roadster GT,2900,10,29000
2021-01-06,Carbon Storm,5000,3,15000
2021-01-06,Titanium Falcon,7500,5,37500
2021-01-06,Speedster Elite,9900,3,29700
2021-01-07,Commuter Swift,495,17,8415
2021-01-07,Urban Rider,350,21,7350
2021-01-07,City Cruiser,400,22,8800
2021-01-07,Mountain Trail Pro,1250,8,10000
2021-01-07,Gravel Explorer,2200,10,22000
2021-01-07,Roadster GT,2900,8,23200
2021-01-07,Carbon Storm,5000,4,20000
2021-01-07,Titanium Falcon,7500,3,22500
2021-01-07,Speedster Elite,9900,4,39600
2021-01-08,Commuter Swift,495,19,9405
2021-01-08,Urban Rider,350,23,8050
2021-01-08,City Cruiser,400,17,6800
2021-01-08,Mountain Trail Pro,1250,8,10000
2021-01-08,Gravel Explorer,2200,12,26400
2021-01-08,Roadster GT,2900,8,23200
2021-01-08,Carbon Storm,5000,5,25000
2021-01-08,Titanium Falcon,7500,3,22500
2021-01-08,Speedster Elite,9900,3,29700
2021-01-09,Commuter Swift,495,22,10890
2021-01-09,Urban Rider,350,18,6300
2021-01-09,City Cruiser,400,23,9200
2021-01-09,Mountain Trail Pro,1250,10,12500
2021-01-09,Gravel Explorer,2200,10,22000
2021-01-09,Roadster GT,2900,11,31900
2021-01-09,Carbon Storm,5000,3,15000
2021-01-09,Titanium Falcon,7500,3,22500
2021-01-09,Speedster Elite,9900,3,29700
2021-01-10,Commuter Swift,495,17,8415
2021-01-10,Urban Rider,350,21,7350
2021-01-10,City Cruiser,400,21,8400
2021-01-10,Mountain Trail Pro,1250,13,16250
2021-01-10,Gravel Explorer,2200,10,22000
2021-01-10,Roadster GT,2900,13,37700
2021-01-10,Carbon Storm,5000,4,20000
2021-01-10,Titanium Falcon,7500,3,22500
2021-01-10,Speedster Elite,9900,3,29700
2021-01-11,Commuter Swift,495,15,7425
2021-01-11,Urban Rider,350,18,6300
2021-01-11,City Cruiser,400,16,6400
2021-01-11,Mountain Trail Pro,1250,11,13750
2021-01-11,Gravel Explorer,2200,9,19800
2021-01-11,Roadster GT,2900,9,26100
2021-01-11,Carbon Storm,5000,5,25000
2021-01-11,Titanium Falcon,7500,5,37500
2021-01-11,Speedster Elite,9900,5,49500
2021-01-12,Commuter Swift,495,15,7425
2021-01-12,Urban Rider,350,21,7350
2021-01-12,City Cruiser,400,22,8800
2021-01-12,Mountain Trail Pro,1250,13,16250
2021-01-12,Gravel Explorer,2200,10,22000
2021-01-12,Roadster GT,2900,11,31900
2021-01-12,Carbon Storm,5000,4,20000
2021-01-12,Titanium Falcon,7500,5,37500
2021-01-12,Speedster Elite,9900,5,49500
2021-01-13,Commuter Swift,495,23,11385
2021-01-13,Urban Rider,350,14,4900
2021-01-13,City Cruiser,400,18,7200
2021-01-13,Mountain Trail Pro,1250,9,11250
2021-01-13,Gravel Explorer,2200,12,26400
2021-01-13,Roadster GT,2900,9,26100
2021-01-13,Carbon Storm,5000,4,20000
2021-01-13,Titanium Falcon,7500,3,22500
2021-01-13,Speedster Elite,9900,4,39600
2021-01-14,Commuter Swift,495,22,10890
2021-01-14,Urban Rider,350,23,8050
2021-01-14,City Cruiser,400,22,8800
2021-01-14,Mountain Trail Pro,1250,8,10000
2021-01-14,Gravel Explorer,2200,13,28600
2021-01-14,Roadster GT,2900,10,29000
2021-01-14,Carbon Storm,5000,4,20000
2021-01-14,Titanium Falcon,7500,4,30000
2021-01-14,Speedster Elite,9900,3,29700
2021-01-15,Commuter Swift,495,21,10395
2021-01-15,Urban Rider,350,20,7000
2021-01-15,City Cruiser,400,20,8000
2021-01-15,Mountain Trail Pro,1250,10,12500
2021-01-15,Gravel Explorer,2200,9,19800
2021-01-15,Roadster GT,2900,8,23200
2021-01-15,Carbon Storm,5000,5,25000
2021-01-15,Titanium Falcon,7500,4,30000
2021-01-15,Speedster Elite,9900,5,49500
2021-01-16,Commuter Swift,495,22,10890
2021-01-16,Urban Rider,350,22,7700
2021-01-16,City Cruiser,400,14,5600
2021-01-16,Mountain Trail Pro,1250,7,8750
2021-01-16,Gravel Explorer,2200,11,24200
2021-01-16,Roadster GT,2900,7,20300
